0 1 0	0.45	0	0	0	0	0.72	0	0.81	0	0	0.63	0	0	3.195	7.83	0.0424	0	0	0	0	0.536	0	1.691	0	7.3098	4310.3058	0	0	1.7665	23.5748	1.44	0	0	0	0	15.48	0	36.81	0	636.75	21590.64	0	0	13.5	205.38	0.0427	0	0	0	0	0.4747	0	0.7773	0	13.9947	15.152	0	0	0.3147	2.4707	4088.9241	0	0	0	0	186.8435	0	108.1665	0	90	67.082	0	0	447.7041	284.605	1.0265	0	0	0	0	1.0878	0	1.0901	0	1.1216	1.0812	0	0	1.1397	1.191	2	0	0	0	0	6.7407	0	7.8049	0	31.4438	6.7143	0	0	4.72	9.6875	0.0133	0	0	0	0	0.08	0	0.1111	0	1.2711	0.1067	0	0	0.0178	0.0444	0.000064	0	0	0	0	0.000688	0	0.001636	0	0.0283	0.959584	0	0	0.0006	0.009128	7.23	1.1141	0.0602	0.0783	2004	1798	1794.99	.2	4	4	5	3	2	1	1	1	2	2	4	4	7	1	1	2	3	4	3	5	5	3	2	2	2	3	0	0	0	0	0	
0 1 0	0.72	1.71	0.81	0.54	0	0.63	0.81	0.54	0.765	0.54	1.17	4.095	13.86	0.99	1.395	53.7558	18.2828	4.4565	0	0	0.083	0.6397	0.1944	0.135	0.5807	1459.9008	22.6671	329.3528	13.03	10.8991	149.85	512.19	50.04	0.54	0	5.85	77.22	1.89	1.53	5.22	17417.79	107.28	3736.62	240.66	193.32	1.9387	14.9627	1.372	0.016	0	0.1973	2.2493	0.072	0.0453	0.1973	25.9347	1.7507	18.3747	3.884	4.0533	174.7134	67.082	313.2092	0	0	600	150	67.082	960.4686	947.2592	60	216.3331	94.8683	67.082	84.8528	1.0556	1.1891	1.1289	1.0472	0	1.0863	1.1065	1.1065	1.1111	1.1214	1.1141	1.1927	1.133	1.1214	1.1459	9.0732	37.351	10.75	1.2	0	4.3529	14.339	2.7	2.2222	4.625	11.8966	9.5857	17.3235	14.0865	16.3763	0.0267	0.2933	0.0756	0.0044	0	0.0444	0.3333	0.0133	0.0089	0.0311	0.5689	0.0267	0.1644	0.2622	0.1511	0.00666	0.022764	0.002224	0.000024	0	0.00026	0.003432	0.000084	0.000068	0.000232	0.774124	0.004768	0.166072	0.010696	0.008592	15.0715	1.1289	0.0714	0.3724	2004	1175	1183.21	1.4	3	3	4	3	2	1	1	1	2	2	3	3	7	1	1	2	4	6	5	5	4	3	2	1	1	3	0	0	0	0	0	
0 0 1	0.45	0.675	0.63	0	0	0	0	0	0	0.72	0.72	0	56.385	0	1.08	0.1273	64.0811	1.9516	0	0	0	0	49.8665	0	15.9722	2898.702	0	24.975	0	0.8357	1.62	197.1	6.03	0	0	0	0	647.37	0	891.99	20638.98	0	112.77	0	4.14	0.056	2.2507	0.1387	0	0	0	0	6.6987	0	19.0867	16.5947	0	0.3267	0	0.1093	6160.8198	60	60	0	0	0	0	67.082	0	67.082	84.8528	0	1534.6987	0	60	1.0699	1.0048	1.1214	0	0	0	0	1.1236	0	1.1141	1.1065	0	1.0595	0	1.1183	2.3333	9.0319	3.0588	0	0	0	0	15.1235	0	36.01	7.3998	0	2.0423	0	3.1429	0.0133	0.0267	0.0133	0	0	0	0	0.1689	0	1.2578	0.1556	0	0.0089	0	0.0133	0.000072	0.00876	0.000268	0	0	0	0	0.028772	0	0.039644	0.917288	0	0.005012	0	0.000184	9.4865	1.1141	0.0658	0.1561	2002	1706	1701.83	.2	3	3	4	3	2	1	1	1	1	2	3	3	6	1	1	2	3	5	4	5	5	3	2	2	1	3	1	0	0	0	1	
0 0 1	0.675	1.845	1.035	0.72	0	1.485	1.35	0	0	0.54	0.72	11.61	13.68	0.81	0.54	0.6135	35.4043	3.722	0.18	0	4.144	0	0	0	0.108	2285.9766	0	214.2686	2.313	1.0173	5.85	437.67	34.2	1.44	0	161.1	1.35	0	0	2.97	19222.65	11.61	2573.55	31.14	16.47	0.1467	13.9827	0.9347	0.0427	0	2.9853	0.0347	0	0	0.112	28.7133	0.296	14.5707	0.8	0.4587	1484.9242	67.082	162.4696	241.8677	0	247.3863	0	0	0	108.1665	67.082	0	134.1641	323.1099	331.3608	1.0556	1.1899	1.1564	1.0803	0	1.1044	1.1089	0	0	1.1141	1.1283	1.2721	1.1455	1.1055	1.0945	3.2353	37.6143	9	2	0	13.2235	1.625	0	0	3.5	12.4973	4.8261	16.649	7.8947	6.1429	0.0267	0.2222	0.0711	0.0089	0	0.24	0.0044	0	0	0.0222	0.3067	0.0044	0.1644	0.0844	0.0667	0.00026	0.019452	0.00152	0.000064	0	0.00716	0.00006	0	0	0.000132	0.85434	0.000516	0.11438	0.001384	0.000732	12.827	1.1281	0.0765	0.2566	2003	1554	1549.27	1.2	3	3	4	3	2	1	1	1	2	2	3	3	6	1	1	2	3	5	5	5	4	3	2	1	1	3	0	0	0	0	1	
0 1 0	23.58	1.71	0	0	0	0.63	0.9	0.45	0	0.72	0.72	26.055	23.13	0.99	1.53	22.77	19.7987	0	0	0	0.5125	0.2481	0.3774	0	6.3505	1213.0019	49.9754	125.1263	2.1569	0.81	47.16	355.14	0	0	0	9.36	4.5	10.08	0	1332.18	16937.46	1272.24	2493.72	35.1	3.06	0.412	12.152	0	0	0	0.3013	0.1413	0.3813	0	34.828	59.452	12.916	11.9293	0.9373	0.0427	295.4657	67.082	0	0	0	67.082	1106.3453	108.1665	0	67.082	60	108.1665	94.8683	108.1665	3370.8308	1.1615	1.1853	0	0	0	1.1141	1.1407	1.1065	0	1.1383	1.1141	1.2261	1.1595	1.1232	1.0717	3.6087	36.3333	0	0	0	5.381	3.5333	6.5	0	53.7418	26.3007	20.6092	14.3754	8.8	1.75	0.0089	0.1956	0	0	0	0.0489	0.0222	0.0667	0	2.8578	0.8311	0.1244	0.1733	0.0889	0.0089	0.002096	0.015784	0	0	0	0.000416	0.0002	0.000448	0	0.059208	0.752776	0.056544	0.110832	0.00156	0.000136	26.03	1.1383	0.0649	0.4141	2002	1289	1290.05	.6	3	3	3	2	2	1	1	1	2	2	2	3	5	1	1	2	3	5	5	5	4	3	2	2	1	3	0	0	0	0	1	
0 0 1	1.08	1.08	0.9	0	0	0.81	0	0	0	0.72	0.405	24.75	46.125	0	1.035	0	2.5066	0.8394	0	0	0	0	0	0	10.8931	5052.7923	0	45.945	0	0.585	1.08	58.77	12.06	0	0	0.81	0	0	0	1400.13	20908.08	24.75	92.25	0	2.07	0.0267	2.0387	0.4387	0	0	0.0293	0	0	0	33.5827	36.128	0.2053	0.436	0	0.0667	0	108.1665	330	0	0	0	0	0	0	84.8528	60	0	67.082	0	3589.2339	1.079	1.1583	1.1899	0	0	1.1347	0	0	0	1.1347	1.0622	1.1553	1.0773	0	1.1181	1.4286	14.7115	7.0417	0	0	1.8333	0	0	0	50.716	14.9813	2.5588	2.6	0	2.5	0.0044	0.12	0.04	0	0	0.0044	0	0	0	2.6889	0.0711	0.0044	0.0089	0	0.0089	0.000048	0.002612	0.000536	0	0	0.000036	0	0	0	0.062228	0.929248	0.0011	0.0041	0	0.000092	14.6785	1.1351	0.0629	0.1326	2004	1402	1383.75	.6	3	3	4	3	2	1	1	1	2	2	3	3	7	1	1	2	3	5	5	4	3	3	2	1	1	3	0	0	0	0	1	
1 0 0	0.81	1.8	1.26	0.72	0.99	0.63	0.81	0	0.81	0.63	0.81	11.07	15.03	0.45	0	0.449	27.7219	7.3434	0	0	0.6298	0.2239	0	0	0.147	301.1858	19.4259	678.3203	0	0	2.79	804.78	40.95	0.72	0.99	16.02	3.15	0	0.81	1.89	11017.53	166.68	10443.24	0.45	0	0.0613	19.344	1.02	0.032	0.0267	0.4213	0.088	0	0.0213	0.0693	67.796	2.5107	68.2627	0.0213	0	150	60	91.8466	0	0	201.2461	7278.4685	0	0	6883.6763	60	150	60	0	0	1.0343	1.1839	1.1393	1.1693	1.0892	1.0738	1.0739	0	1.0639	1.1135	1.1214	1.1878	1.1666	1.1383	0	1.9167	38.3263	9	2	1.4286	5.9259	2.75	0	1.3333	2.6	37.01	11.0575	38.2111	1.6	0	0.0133	0.52	0.0444	0.0044	0.0044	0.0844	0.0178	0	0.0044	0.0133	3.1378	0.04	0.2267	0.0044	0	0.000124	0.035768	0.00182	0.000032	0.000044	0.000712	0.00014	0	0.000036	0.000084	0.489668	0.007408	0.464144	0.00002	0	30.939	1.1283	0.0696	0.5435	2005	1515	1522.15	1.2	4	3	5	4	2	1	1	1	2	2	4	4	7	1	1	3	4	5	5	5	4	3	2	1	1	3	0	0	0	0	0	
0 0 1	0.495	1.44	0.45	0	0	0.54	0.765	0	0	0.585	0.81	15.615	19.8	0	7.74	0.1102	9.5871	0	0	0	0.0927	0.246	0	0	1.4823	352.8814	19.2629	2197.6136	0	0	2.16	390.69	0.45	0	0	5.04	4.41	0	0	5.58	11086.02	188.37	10809.54	0	7.74	0.0693	12.776	0.0267	0	0	0.184	0.1333	0	0	0.1827	47.5853	2.3067	45.8747	0	0.1067	190.0066	60	0	0	0	2621.0113	2592.7029	0	0	2525.8988	60	84.8528	60	0	0	1.0369	1.1804	1.1913	0	0	1.0831	1.0923	0	0	1.126	1.1347	1.2033	1.1972	0	1.1366	2.6	36.4697	2	0	0	4.6	3.5714	0	0	4.3125	26.349	9.4891	25.2435	0	2.1053	0.0178	0.3778	0.0044	0	0	0.04	0.0267	0	0	0.0178	1.96	0.0444	0.0756	0	0.0044	0.000096	0.017364	0.00002	0	0	0.000224	0.000196	0	0	0.000248	0.492712	0.008372	0.480424	0	0.000344	21.4835	1.14	0.0667	0.5261	2003	1326	1319.31	1.5	3	2	3	2	2	1	1	1	2	2	2	3	5	1	1	2	2	5	5	5	4	3	2	1	1	3	0	0	0	0	0	
0 1 0	0.9	1.62	0.63	0.81	0	0	0.72	0.45	0	0.63	0.9	11.34	16.38	0.72	0.99	1.6102	46.1904	1.2515	0	0	1.3576	0.5107	0.1745	0	0	518.8874	0	433.4147	1.3441	6.0132	29.16	783.36	20.34	0.81	0	33.93	45.99	2.79	0	0.63	13856.4	11.34	7214.22	81.81	419.22	0.6093	20.66	0.5227	0.0267	0	0.8307	1.3853	0.1013	0	0.032	41.7693	0.1467	39.492	2.2987	8.952	1005.7833	60	573.1492	0	0	403.6087	247.3863	1761.8456	0	0	67.082	0	60	150	84.8528	1.0742	1.1928	1.1046	1.1135	0	1.0699	1.1046	1.1065	0	1.1872	1.1351	1.154	1.1661	1.1239	1.1245	6.3611	41.5508	6.3548	1.6667	0	8	11.3043	3.1667	0	2	20.6688	2.3913	26.8078	14.3279	24.5839	0.08	0.3067	0.08	0.0044	0	0.1378	0.2089	0.0222	0	0.0044	1.4222	0.0044	0.2089	0.2978	0.6844	0.001296	0.034816	0.000904	0.000036	0	0.001508	0.002044	0.000124	0	0.000028	0.61584	0.000504	0.320632	0.003636	0.018632	22.905	1.1283	0.0654	0.5164	2003	1226	1226.7	3.3	3	3	4	3	2	1	1	1	2	2	3	3	7	1	1	3	4	6	5	5	4	3	2	1	1	3	0	0	0	0	0	
0 0 1	0	1.17	0.675	0	0	2.7	0	0.45	0	0.81	0.81	20.61	12.915	0	0.27	0	29.9894	0.2974	0	0	1.5128	0	0	0	255.9795	219.3472	35.2197	256.6046	0	0	0	498.51	4.59	0	0	19.35	0	0.45	0	8045.37	9859.77	768.06	3303.63	0	0.27	0	15.268	0.144	0	0	0.3333	0	0.0213	0	77.0413	96.2267	9.0013	18.2667	0	0.0067	0	67.082	152.9706	0	0	690	0	0	0	60	60	270	67.082	0	0	0	1.1698	1.0995	0	0	1.0699	0	1.1383	0	1.1327	1.1229	1.2223	1.1393	0	1.0364	0	38.4765	3.6	0	0	4.1667	0	1.6	0	48.8946	54.9335	18.3189	18.7448	0	1	0	0.2844	0.0267	0	0	0.04	0	0.0044	0	2.1467	2.6	0.1022	0.1778	0	0.0044	0	0.022156	0.000204	0	0	0.00086	0	0.00002	0	0.357572	0.438212	0.034136	0.146828	0	0.000012	41.558	1.1294	0.0686	0.6569	2005	1202	1191.31	.7	3	3	3	2	2	1	1	1	2	2	2	3	5	1	1	2	3	5	5	5	5	4	2	2	1	3	0	0	0	0	1	
